date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:34	250/250	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Jun%202018%2009:33:34%20GMT	http://elezioni2018.comune.venezia.it/robots.txt		(from )
11:33:34	122051/122051	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:34%20GMT	http://elezioni2018.comune.venezia.it/	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/index.html	(from )
11:33:36	138864/138864	---M-Z	200	added ('OK')	text/css	etag:%2221e70-566840e853ec9-gzip%22	http://elezioni2018.comune.venezia.it/build/build.css	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/build/build.css	(from http://elezioni2018.comune.venezia.it/)
11:33:37	13233/13233	---M-Z	200	added ('OK')	application/javascript	etag:%2233b1-5666fb17c9b6d-gzip%22	http://elezioni2018.comune.venezia.it/build/vendor/modernizr.js	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/build/vendor/modernizr.js	(from http://elezioni2018.comune.venezia.it/)
11:33:38	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-566884fd8b9cc%22	http://elezioni2018.comune.venezia.it/favicon.ico	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/favicon.ico	(from http://elezioni2018.comune.venezia.it/)
11:33:38	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from http://elezioni2018.comune.venezia.it/)
11:33:39	4487/4487	---M--	200	added ('OK')	image/png	etag:%221187-5666fc38d461f%22	http://elezioni2018.comune.venezia.it/apple-touch-icon-57x57.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/apple-touch-icon-57x57.png	(from http://elezioni2018.comune.venezia.it/)
11:33:40	6757/6757	---M--	200	added ('OK')	image/png	etag:%221a65-5666fc385a8e4%22	http://elezioni2018.comune.venezia.it/apple-touch-icon-76x76.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/apple-touch-icon-76x76.png	(from http://elezioni2018.comune.venezia.it/)
11:33:41	13528/13528	---M--	200	added ('OK')	image/png	etag:%2234d8-5666fc382c698%22	http://elezioni2018.comune.venezia.it/apple-touch-icon-120x120.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/apple-touch-icon-120x120.png	(from http://elezioni2018.comune.venezia.it/)
11:33:41	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:%22176d5-5666fb17a97da-gzip%22	http://elezioni2018.comune.venezia.it/build/vendor/jquery.min.js	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/build/vendor/jquery.min.js	(from http://elezioni2018.comune.venezia.it/)
11:33:42	73480/73480	---M--	200	added ('OK')	image/png	etag:%2211f08-56688340b8ad9%22	http://elezioni.comune.venezia.it/citta-venezia.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni.comune.venezia.it/citta-venezia.png	(from http://elezioni2018.comune.venezia.it/)
11:33:42	6099/6099	---M--	200	added ('OK')	image/png	etag:%2217d3-5666fae2da4d6%22	http://elezioni2018.comune.venezia.it/immagini/logo/come-di-venezia_logo.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/logo/come-di-venezia_logo.png	(from http://elezioni2018.comune.venezia.it/)
11:33:43	20408/20408	---M--	200	added ('OK')	image/png	etag:%224fb8-5666fc387db65%22	http://elezioni2018.comune.venezia.it/apple-touch-icon-152x152.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/apple-touch-icon-152x152.png	(from http://elezioni2018.comune.venezia.it/)
11:33:43	24253/24253	---M--	200	added ('OK')	image/png	etag:%225ebd-5666fc392eb74%22	http://elezioni2018.comune.venezia.it/apple-touch-icon-180x180.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/apple-touch-icon-180x180.png	(from http://elezioni2018.comune.venezia.it/)
11:33:43	122051/122051	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:44%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30241	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30241.html	(from http://elezioni2018.comune.venezia.it/)
11:33:45	92434/92434	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:45%20GMT	http://elezioni2018.comune.venezia.it/affluenze.php	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/affluenze.html	(from http://elezioni2018.comune.venezia.it/)
11:33:46	121957/121957	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:46%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/20201	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/20201.html	(from http://elezioni2018.comune.venezia.it/)
11:33:48	121929/121929	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:48%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/20202	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/20202.html	(from http://elezioni2018.comune.venezia.it/)
11:33:49	122035/122035	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:50%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/20203	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/20203.html	(from http://elezioni2018.comune.venezia.it/)
